filename,frequencies,magnitudes
xa.s12.00.mhz.1973-03-24HR00_evid00097,"[0.00000000e+00 1.74744829e-04 3.49489658e-04 ... 4.99993884e+01
 4.99995631e+01 4.99997379e+01]","[4.73221462e-12 5.08220937e+02 4.14228300e+02 ... 1.45237997e+01
 3.26356009e+00 2.06473018e+01]"
xa.s12.00.mhz.1973-05-14HR00_evid00104,"[0.00000000e+00 1.74698427e-04 3.49396854e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[9.52837809e-12 9.47312822e+02 1.37930303e+03 ... 3.89979742e+01
 4.95928983e+01 3.32246379e+01]"
xa.s12.00.mhz.1973-06-05HR00_evid00107,"[0.00000000e+00 1.74704531e-04 3.49409062e-04 ... 4.99993885e+01
 4.99995632e+01 4.99997379e+01]","[1.48148160e-12 1.11375311e+03 7.76314929e+02 ... 5.25520223e+01
 7.96418477e+01 5.19985141e+01]"
xa.s12.00.mhz.1973-06-05HR00_evid00108,"[0.00000000e+00 1.74704531e-04 3.49409062e-04 ... 4.99993885e+01
 4.99995632e+01 4.99997379e+01]","[1.48148160e-12 1.11375311e+03 7.76314929e+02 ... 5.25520223e+01
 7.96418477e+01 5.19985141e+01]"
xa.s12.00.mhz.1973-06-18HR00_evid00109,"[0.00000000e+00 1.74697511e-04 3.49395023e-04 ... 4.99994759e+01
 4.99996506e+01 4.99998253e+01]","[2.28794761e-12 4.00462761e+03 6.06773785e+02 ... 4.21540712e+01
 4.50992516e+01 2.36570231e+01]"
xa.s12.00.mhz.1973-06-27HR00_evid00112,"[0.00000000e+00 1.74703310e-04 3.49406620e-04 ... 4.99993885e+01
 4.99995632e+01 4.99997379e+01]","[2.00373051e-12 8.42184934e+02 1.94832001e+03 ... 4.89153238e+01
 2.28656412e+00 5.64773374e+01]"
xa.s12.00.mhz.1973-07-03HR00_evid00113,"[0.00000000e+00 1.74704531e-04 3.49409062e-04 ... 4.99993885e+01
 4.99995632e+01 4.99997379e+01]","[4.44799753e-12 9.29134566e+02 7.24885881e+02 ... 2.18365707e+01
 6.14627618e+01 2.05484998e+01]"
xa.s12.00.mhz.1973-07-04HR00_evid00114,"[0.00000000e+00 1.74704531e-04 3.49409062e-04 ... 4.99993885e+01
 4.99995632e+01 4.99997379e+01]","[5.37170308e-12 4.01713937e+02 1.02310348e+03 ... 2.30529084e+01
 3.41598115e+01 3.85030547e+01]"
xa.s12.00.mhz.1973-07-20HR00_evid00117,"[0.00000000e+00 1.74697511e-04 3.49395023e-04 ... 4.99994759e+01
 4.99996506e+01 4.99998253e+01]","[5.14432941e-12 7.12783580e+02 2.02643243e+03 ... 2.47691412e+01
 3.14224055e+01 2.08510667e+01]"
xa.s12.00.mhz.1973-07-28HR00_evid00120,"[0.00000000e+00 1.74704531e-04 3.49409062e-04 ... 4.99993885e+01
 4.99995632e+01 4.99997379e+01]","[1.13686838e-12 2.38338768e+03 1.92649048e+03 ... 1.87354771e+02
 1.81677478e+02 2.07694147e+02]"
xa.s12.00.mhz.1973-07-29HR00_evid00121,"[0.00000000e+00 1.74704531e-04 3.49409062e-04 ... 4.99993885e+01
 4.99995632e+01 4.99997379e+01]","[3.60955710e-12 1.95476368e+03 3.68349556e+02 ... 6.29322008e+01
 3.54081575e+01 1.14756892e+02]"
xa.s12.00.mhz.1973-08-21HR00_evid00127,"[0.00000000e+00 1.74699648e-04 3.49399295e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[4.36273240e-12 1.26738520e+03 6.01457128e+02 ... 1.66529919e+01
 3.90813727e+01 3.28620200e+01]"
xa.s12.00.mhz.1974-01-10HR00_evid00136,"[0.00000000e+00 1.74697511e-04 3.49395023e-04 ... 4.99994759e+01
 4.99996506e+01 4.99998253e+01]","[8.05755462e-12 2.09620878e+03 5.56318231e+02 ... 3.93448196e+01
 4.48436846e+01 2.87617761e+01]"
xa.s12.00.mhz.1974-02-07HR00_evid00137,"[0.00000000e+00 1.74697511e-04 3.49395023e-04 ... 4.99994759e+01
 4.99996506e+01 4.99998253e+01]","[5.96855898e-13 6.25424162e+02 5.64240078e+02 ... 2.96254935e+01
 1.87713332e+01 1.43649531e+01]"
xa.s12.00.mhz.1974-02-12HR00_evid00138,"[0.00000000e+00 1.74698427e-04 3.49396854e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[4.26325641e-13 2.23986341e+02 1.53663901e+02 ... 9.88248924e+01
 9.80870871e+01 9.54855909e+01]"
xa.s12.00.mhz.1974-03-25HR00_evid00140,"[0.00000000e+00 1.74706057e-04 3.49412114e-04 ... 4.99994759e+01
 4.99996506e+01 4.99998253e+01]","[5.34328137e-12 1.60892181e+03 1.21676895e+03 ... 3.45711646e+01
 5.54907375e+01 8.53636395e+01]"
xa.s12.00.mhz.1974-04-08HR00_evid00141,"[0.00000000e+00 1.74699648e-04 3.49399295e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[3.15480975e-12 1.34632611e+03 6.89884737e+02 ... 4.34872290e+01
 5.58529424e+01 2.80323909e+01]"
xa.s12.00.mhz.1974-04-19HR00_evid00142,"[0.00000000e+00 1.74707278e-04 3.49414556e-04 ... 4.99994759e+01
 4.99996506e+01 4.99998253e+01]","[4.03588274e-12 8.26019152e+02 1.33673036e+03 ... 1.28706664e+01
 2.23177200e+01 5.33433554e+00]"
xa.s12.00.mhz.1974-04-26HR00_evid00144,"[0.00000000e+00 1.74707278e-04 3.49414556e-04 ... 4.99994759e+01
 4.99996506e+01 4.99998253e+01]","[7.67386155e-12 4.53013795e+02 2.20485634e+02 ... 1.46337821e+01
 1.61719584e+01 8.50883332e+00]"
xa.s12.00.mhz.1974-04-27HR00_evid00145,"[0.00000000e+00 1.74708194e-04 3.49416387e-04 ... 4.99993885e+01
 4.99995632e+01 4.99997379e+01]","[3.41060513e-13 1.36520865e+03 1.34436356e+03 ... 2.28693750e+01
 5.39599164e+00 2.10818110e+01]"
xa.s12.00.mhz.1974-06-25HR00_evid00149,"[0.00000000e+00 1.74695985e-04 3.49391971e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[1.50066626e-11 1.98697256e+03 2.66824863e+03 ... 2.77693185e+01
 3.60097692e+01 3.67530748e+01]"
xa.s12.00.mhz.1974-07-06HR00_evid00150,"[0.00000000e+00 1.74699648e-04 3.49399295e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[6.25277607e-12 2.37147953e+03 1.91065554e+03 ... 4.23659709e+01
 3.78656341e+01 3.55627290e+01]"
xa.s12.00.mhz.1974-07-06HR00_evid00151,"[0.00000000e+00 1.74699648e-04 3.49399295e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[6.25277607e-12 2.37147953e+03 1.91065554e+03 ... 4.23659709e+01
 3.78656341e+01 3.55627290e+01]"
xa.s12.00.mhz.1974-07-11HR00_evid00152,"[0.00000000e+00 1.74698427e-04 3.49396854e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[4.64694949e-12 2.12322467e+03 7.67828519e+02 ... 4.52812594e+01
 8.15958331e+00 2.80746992e+01]"
xa.s12.00.mhz.1974-07-17HR00_evid00153,"[0.00000000e+00 1.74695985e-04 3.49391971e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[3.18323146e-12 3.63228255e+02 4.97519770e+02 ... 1.42740238e+01
 9.02291833e+00 2.19950190e+01]"
xa.s12.00.mhz.1974-10-14HR00_evid00156,"[0.00000000e+00 1.74697511e-04 3.49395023e-04 ... 4.99994759e+01
 4.99996506e+01 4.99998253e+01]","[1.99662509e-12 4.98421471e+02 4.76679198e+02 ... 2.37941577e+01
 8.60268638e+01 6.76719595e+01]"
xa.s12.00.mhz.1975-04-12HR00_evid00191,"[0.00000000e+00 1.74695985e-04 3.49391971e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[1.30739863e-12 8.58774919e+02 8.67835792e+02 ... 3.42441792e+01
 3.89834847e+01 3.94928902e+01]"
xa.s12.00.mhz.1975-05-04HR00_evid00192,"[0.00000000e+00 1.74697511e-04 3.49395023e-04 ... 4.99994759e+01
 4.99996506e+01 4.99998253e+01]","[2.67164069e-12 8.33475836e+02 8.22711771e+02 ... 1.59883187e+01
 1.68369208e+01 1.61699438e+01]"
xa.s12.00.mhz.1975-06-24HR00_evid00196,"[0.00000000e+00 1.74699648e-04 3.49399295e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[3.18323146e-12 1.38681564e+03 1.01504044e+02 ... 5.01964956e+01
 7.07432150e+01 3.78033924e+01]"
xa.s12.00.mhz.1975-06-26HR00_evid00198,"[0.00000000e+00 1.74700868e-04 3.49401737e-04 ... 4.99993885e+01
 4.99995632e+01 4.99997379e+01]","[3.80850906e-12 2.14663239e+03 4.24343240e+02 ... 2.40296426e+01
 3.46072354e+01 3.76358881e+01]"
